Title,Author,Rating,Type
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 9,405,476 ratings","4.34 avg rating — 9,405,476 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,638,160 ratings","4.50 avg rating — 3,638,160 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,543,343 ratings","4.29 avg rating — 4,543,343 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,589,869 ratings","4.26 avg rating — 6,589,869 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,762,190 ratings",(Goodreads Author)
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.66 avg rating — 7,036,429 ratings","3.66 avg rating — 7,036,429 ratings"
Animal Farm,George Orwell,"really liked it 4.00 avg rating — 4,262,155 ratings","really liked it 4.00 avg rating — 4,262,155 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 140,161 ratings","4.61 avg rating — 140,161 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 688,768 ratings","4.28 avg rating — 688,768 ratings"
The Fault in Our Stars,John Green,"4.13 avg rating — 5,507,021 ratings",(Goodreads Author)
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,738,183 ratings","4.13 avg rating — 1,738,183 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,196,032 ratings","4.38 avg rating — 1,196,032 ratings"
Wuthering Heights,Emily Brontë,"3.90 avg rating — 1,931,355 ratings","3.90 avg rating — 1,931,355 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,284,433 ratings",(Goodreads Author)
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,250,956 ratings","4.31 avg rating — 1,250,956 ratings"
